name,true_sentiment,text,normalized_text
Миска Баланса,Positive,"Отличное место для тех, кто предпочитает сбалансированное питание. Очень вкусные авторские напитки. Молочные коктейли вкусные и осень красивые. Атмосфера в кафе приятная, красивые картины. Ожидание недолгое, персонал приятный.",отличный место предпочитать сбалансированный питание очень вкусный авторский напиток молочная коктейль вкусный осень красивый атмосфера кафе приятный красивый картина ожидание недолгий персонал приятный
Вэлс-Сервис,Positive,Останавливаемся только в этом отеле когда едим на рыбалку. Кухня и номера хорошие. ,останавливаться отель рыбалка кухня номер хороший
Соль и перец,Positive,"Вкусно и быстро, заказывали омлеты,кофе, сегдвич, обстановка комфортная, красиво всё, обслуживание приятное, а рядом магазин с пивком ещё открылся БирКрик в квадрате, так что всё нужное рядом 😄",вкусно быстро заказывать омлет кофе сегдвич обстановка комфортный красиво весь обслуживание приятный рядом магазин пивко открываться биркрик квадрат весь нужный рядом
Шаурма от Души!,Positive,Шаурма огонь! Готовят вкусно и быстро! Сочная! Рекомендую! ,шаурма огонь готовить вкусно быстро сочный рекомендовать
Зам-зам,Negative,"Не вкусно, сам брезгую, там что либо себе покупать, покупал знакомым плов и салат попросили фу попались волосы черные  чуть не блеванули. Не доверяю таким забегаловкам кушайте дома .Не тратьте зря деньги ! Не заводите себе в организме глистов. Грязно не вкусно готовят как обычно лишь бы продать вам пойдёт,  туда больше не пойду может для юганска это нормально забегаловки. ",вкусно брезговать либо покупать покупать знакомый плов салат попросить попадаться волос черный блевануть доверять забегаловка кушать дом тратить зря деньги заводить организм глист грязно вкусно готовить обычно лишь продавать пойти туда пойти мочь юганск нормальный забегаловка
Family Bistro,Positive,"Очень довольна! Это 10 из 10 по всем критериям! Основной фактор который я отмечу, свежо! Хорошая вентиляция пространства, это очень важно. Еда вкусная, без специфики, меню понятное, официант вежливая, заботливая. Музыкальное сопровождение в кафе спокойное классическое. Очень ждем открытия вашего кафе на севере города (конец комендантского проспекта желательно 😅)  Спасибо!",очень довольный весь критерий основной фактор который отмечать свежо хороший вентиляция пространство очень важный еда вкусный специфика меню понятный официант вежливый заботливый музыкальный сопровождение кафе спокойный классический очень ждать открытие ваш кафе север город конец комендантский проспект желательно спасибо
Море мясо,Positive,"Атмосферное заведение Хорошие официанты Заказывали шашлык, очень понравился , вкусно и сытно",атмосферный заведение хороший официант заказывать шашлык очень понравиться вкусно сытно
Суши Лайф,Positive,"Пока нашла вход, стемнело, еще и местные не знают (молодежь), где такое заведение😀 По вкусу мои говорят, что самые бестовые суши😀",пока находить вход стемнеть местный знать молодежь заведение вкус говорить самый бестовый суша
An Ngon,Positive,"Мы с Мужем фанаты вьетнамской кухни, а хорошее место очень сложно найти )))  Это чудесное место нашёл мой Муж, совершенно случайно, когда посещал ТЦ Мари и  ему понравилось как готовят, он естественно привёз мне на пробу!!! И мы сошлись в одном мнении, что готовят очень круто, будто оказались в самом Вьетнаме и сразу начали вспоминать отдых, местную еду... Эхххх...  Так так... Сейчас не про отдых, простите просто эта еда  реально круто приготовлена и сразу куча воспоминаний)))  Вообщем Муж еду из этого места всегда привозил домой, а тут я забрёла по делам в Тц и решила зайти и посмотреть, что да как.  Жалко, что место спрятано за другим кафе, но знающий без проблем его найдёт. Как только вы приехали на этаж, сразу прямо, проходите, где столики и придёте к нужному месту.  Встретил меня истинный Вьетнамец, был очень приветлив, правда он плохо дружит с русским языком, но для меня это не проблема.  Всё, что я хотела донести до него, я донесла и он всё отлично понял, я оплатила заказ, мне дали чек и сказали подождать 8 минут и будет готово (это очень круто, что ждать совсем немного).  Окинув взглядом их помещение я осталась довольной, чисто и опрятно, а Главное Очень Вкусно!!!!))))  И у них ещё есть Яндекс Доставка, что очень удобно!!!  Советую посетить и попробовать!!!",муж фанат вьетнамский кухня хороший место очень сложно находить чудесный место находить муж совершенно случайно посещать мари понравиться готовить естественно привозить проба сходиться мнение готовить очень круто оказываться самый вьетнам сразу начинать вспоминать отдых местный еда эхххх отдых прощать просто еда реально круто приготавливать сразу куча воспоминание вообщий муж ехать место привозить домой забредать дело решать зайти посмотреть жалко место спрятать кафе знать проблема находить приезжать этаж сразу прямо проходить столик прийти нужный место встречать истинный вьетнамец очень приветливый правда плохо дружить русский язык проблема хотеть доносить доносить отлично понимать оплачивать заказ давать чек сказать подождать минута готовый очень круто ждать немного окидывать взгляд помещение оставаться довольный чисто опрятно главное очень вкусно яндекс доставка очень удобный советовать посещать попробовать
Кафе,Positive,"Нормальная еда, готовят относительно быстро. Достаточно уютно, есть приличный туалет. Были группой 15 человек, все довольны. Хороший вариант для остановки в пути.",нормальный еда готовить относительно быстро достаточно уютно приличный туалет группа человек довольный хороший вариант остановка путь
Чудесный горшочек,Positive,"Обожаю это место, пару лет уже точно постоянно берем здесь молочный чай с тапиокой и жареный тофу. Брали популярный чай с медведем, тоже вкусный и очень инстаграмный ☺️  Само место тоже приятное, чистенькое, небольшое и уютное.  Очень советую!",обожать место пара год точно постоянно брать молочный чай тапиока жареный тоф брать популярный чай медведь вкусный очень инстаграмный место приятный чистенький небольшой уютный очень советовать
Харчевня Жасмин,Positive,"Шикарная кухня. Пробовали пельмени, дети и жена остались очень довольны. Порции очень достойные. Рекоменуем.",шикарный кухня пробовать пельмень ребенок жена оставаться очень довольный порция очень достойный рекоменовать
Грузинский дом,Positive,"Вкусная еда, душевная атмосфера, грузинская музыка) из минусов: дорогое и крайне невкусное пиво. Люблю хинкали с пивом, отличное сочетание, но не в этом случае ... Уважаемый владелец: закупите пожалуйста хорошего пива))",вкусный еда душевный атмосфера грузинский музыка минус дорогой крайне невкусный пиво любить хинкали пиво отличный сочетание случай уважаемый владелец закупать пожалуйста хороший пиво
CHICKO,Positive,"Все очень вкусно 👍 Еда на уровне, особенно корндоги класс :D оч круто тут почиллить после рабочего дня вечерком) персонал добродушный и отзывчивый, особенно Маша 🥰 ",очень вкусно еда уровень особенно корндоги класс круто почиллить рабочий день вечерок персонал добродушный отзывчивый особенно маша
Соус,Positive,Еда была вкусная продукты свежие очень понравился сервис    ,еда вкусный продукт свежий очень понравиться сервис
Рагин Бор,Negative,"До последнего времени кофе было одним из любимых. Обязательно останавливались там, когда ехали в Санкт-Петербург. Но последний раз нас ждал сюрприз. Ехали 17 июля 2023, остановились как всегда, хотели перекусить.  Почему-то кафе работало только за наличный расчёт. Карты, переводы не принимались. За кассой молодой человек, лет 16, что, мягко говоря, удивило. Зашли в туалет - грязь невообразимая, некуда ступить. Пришлось обедать в другом месте. Разочарованы. ",последний время кофе любимый обязательно останавливаться ехать последний ждать сюрприз ехать июль останавливаться хотеть перекусить кафе работать наличный расчет карта перевод приниматься касса молодой человек год мягко говорить удивлять зайти туалет грязь невообразимый некуда ступать приходиться обедать место разочаровывать
Грильяж,Positive,"Неожиданно превосходная кухня и приятный интерьер.  Обслуживание на высоте. Были компанией из 6 человек. Картошка по деревенски - чумовая. Лучшая в моей жизни. Салат греческий, пельмешки и котлета по киевски - все очень понравилось.",неожиданно превосходный кухня приятный интерьер обслуживание высота компания человек картошка деревенский чумовая хороший жизнь салат греческий пельмешек котлета киевский весь очень понравиться
Встреча,Positive,"Прекрасное помещение,отличная еда,необходимо нашему городу для проведения различных мероприятий,включая свадьбы,юбилеи и т.д.персонал вежливый",прекрасный помещение отличный еда необходимо наш город проведение различный мероприятие включая свадьба юбилей персонал вежливый
Кафе the Best,Negative,"Были  на поминках. Это второй раз, там же были и поминки на похороны. Это просто помои в разношерстные, разных диаметров тарелки. Заветренные тарталетки с блевоткой. Как будто, что то пережевали или вырвало персонал и в корзиночки положили . Окрошка, как желе, типа холодец, ложка стояла. Гречка не мытая, поэтому мусор, который при промывке всплывает, находится посередине порционной тарелки. Хлебницы, виноградницы отдельная история. Может хлеб то был и вкусный, но подача в этих чудо тарелках не позволила мне его попробовать. Всё было настолько невкусно, что даже пробило на отзыв.    После поминок покушали дома. Девочки, а может технологические карты в помощь или сменить продукты или поваров. Но что то необходимо поменять. Мрачное заведение навевало больше ужас, чем грусть по умершему. Цену незнаю. Надеюсь не дорого. Они подняли мою самооценку. Я умею готовить!, до сегодня  думала, что не очень. Сожалею о знакомстве с завелением . Какое то унижение было смотреть на помои, как их кушали под винишко. Пробовала пить, не зашло, закуска отвращала.  Возможно цена настолько низкая, что люди готовы оплачивать эти помои, а умершему уже всё ровно. У меня есть фото, но оно не передаст этот гнилостный запах, да и телефон неплохой, фудфото делает красивыми. ",поминки второй поминки похороны просто помои разношерстный разный диаметр тарелка заветренный тарталетка блевотка пережевывать вырывать персонал корзиночка полагать окрошка желе тип холодец ложка стоять гречка мытый поэтому мусор который промывка всплывать находиться посередине порционный тарелка хлебница виноградница отдельный история мочь хлеб вкусный подача чудо тарелка позволять попробовать настолько невкусно пробивать отзыв поминки покушать дома девочка технологический карта помощь сменить продукт повар необходимо поменять мрачный заведение навевать ужас грусть умерший цена незнать надеяться дорого подымать самооценка уметь готовить сегодня думать очень сожалеть знакомство завеление унижение смотреть помои кушать винишко пробовать пить зайти закуска отвращать возможно цена настолько низкий человек готовый оплачивать помои умерший ровно фото оно передавать гнилостный запах телефон неплохой фудфото делать красивый
Грузинский дом,Negative,"Зашли перекусить в обеденное время,были разочарованы,кухня может и неплохая, но обслуживание... администратор и официант работает недавно и не знает что делать с гостями от слова совсем,очень жаль, видно,что уборка давно не проводилась, даже рассчитать нас не могли с первого раза.",зайти перекусить обеденный время разочаровывать кухня неплохой обслуживание администратор официант работать недавно знать делать гость слово очень жаль видно уборка давно проводиться рассчитать мочь первый
Кофетория,Positive,"Очень уютное заведение , вкусный кофе , советую Карибский кофе , эспрессо с нотками Рома очень клёво сочитаються !) Официант Эльвира очень приветлива ) Спасибо большое)💋❤️",очень уютный заведение вкусный кофе советовать карибский кофе эспрессо нотка ром очень клевый сочитаються официант эльвира очень приветливый спасибо большой
ВкусВилл Айс,Negative,"Обучите своих сотрудников корректному общению! Нечасто сталкиваюсь с хамством,но тут уже не впервые раз. Отвратительное отношение продавцов.",обучать свой сотрудник корректный общение нечасто сталкиваться хамство впервые отвратительный отношение продавец
Иверия,Negative,"Был в этом кафе много раз, правда последний раз был около 5 лет назад. Все было на высшем уровне еда,цены,обслуживание,НО вчерашний вечер все перевернул!!!! Зал был абсолютно пустой, шашлык приготовлен не понятно на чем, но точно не на углях, типа во фритюре или газовом гриле, практически все блюда не соленые, меню вызвало восторг, обычные тетрадные листочки в клеточку на которых от руки написаны блюда.. УЖАС!!!! Но самого главное поразило что при все при этом что мы были одни взале нас ещё и хотели обмануть на 1600!!!! Что мы заказывали и они на каждое блюдо накинули по 200р а на шашлык и того больше 1000..  Вообщем не знаю что стало с этим кафе, но теперь понятно. Почему там не кого нет и гостей...",кафе правда последний около год назад весь высокий уровень еда цена обслуживание вчерашний вечер весь перевертывать зал абсолютно пустой шашлык приготавливать понятно точно уголь тип фритюр газовый гриль практически весь блюдо соленый меню вызывать восторг обычный тетрадный листочек клеточка который рука написать блюдо ужас главное поражать взал хотеть обманывать заказывать каждый блюдо накинуть шашлык вообщий знать становиться кафе понятно почему гость
Хинкальная № 1,Positive,"Второй раз посещаем это место, очень нравится, ещё и с собой берём. Что можно выделить это наивкуснейшая кухня, ну и приветливый персонал.",второй посещать место очень нравиться брать выделять вкусный кухня приветливый персонал
Я люблю хинкали,Negative,"Помещение некомфортное, странно пахнет вокруг, официант милая, но без формы. Заказывали хинкали, готовили очень долго, но в целом по вкусу нормальные. Десерты маленькие, своей цены не оправдывают. В центре за эти цены можно намного лучше поесть в более приятной обстановке. Не советую. ",помещение некомфортный странно пахнуть вокруг официант милый форма заказывать хинкали готовить очень долго целое вкус нормальный десерт маленький свой цена оправдывать центр цена намного поесть приятный обстановка советовать
Качели,Negative,"Была вчера в этом кафе. Взяла картошку пюре, и пирожок с чаем. Порция очень маленькая. На вкус пюре оказалась кислое. Но была голодная и торопилась. Вечером начало крутить живот, растройство кишечника, и сегодня продолжение. Никому не рекомендую. ",вчера кафе взять картошка пюре пирожок чай порция очень маленький вкус пюре оказываться кислый голодный торопиться вечер начинать крутить живот растройство кишечник сегодня продолжение никто рекомендовать
Русский двор,Negative,"Вечером в воскресенье посетили летнюю площадку в кафе ""Русский двор"" Ранее уже были там, пробовали грузинскую кухню - хинкали, хачапури, чебуреки. Что сказать, это было разочарование. Грузинского в еде ничего нет, кроме названия, мало специй, всё пресное.  В этот раз решили дать второй шанс и попробовать дранбургеры. Это катастрофа. С привлекательным фото в меню эта ""еда"" не имеет ничего общего. Красивые и пышные драники, сочный говяжий бифштекс, свежий томат, красный лук... Ничего этого вы здесь не получите. Серая картофельная лужа, нечто непонятное из перемолотых субпродуктов коричневого цвета, шкурки от томата, невнятный соус. Всё это искусно подогрето в микроволновке.  Очень жаль, что вы не уважаете своих гостей и продаете им такую гадкую еду.  Обслуживание оставляет желать лучшего, недовольные и кислые лица кассиров, сразу дают понять, что вам тут не рады.",вечер воскресение посещать летний площадка кафе русский двор ранее пробовать грузинский кухня хинкали хачапури чебурек сказать разочарование грузинский еда ничто кроме название мало специя пресный решать давать второй шанс попробовать дранбургер катастрофа привлекательный фото меню еда иметь ничто общий красивый пышный драник сочный говяжий бифштекс свежий томат красный лук ничто получать серый картофельный лужа нечто непонятный перемалывать субпродукт коричневый цвет шкурка томат невнятный соус весь искусный подогревать микроволновка очень жаль уважать свой гость продавать гадкий еда обслуживание оставлять желать хороший недовольный кислый лицо кассир сразу давать понимать рад
Хата Казака,Positive,"Всегда любил хату казака, рекомендую, отличная кухня, национальный колорит, приятная атмосфера, в окна видно море) и живописный ландшафт.",любить хата казак рекомендовать отличный кухня национальный колорит приятный атмосфера окно видно море живописный ландшафт
Хинкальная,Negative,"Ужаснейшее место в котором когда-либо был. 1. Обслуживание: ужаснейшее, официант грубит, ничего не знает по меню, по типу сами думайте, что заказывать, на удачу 2. Кухня: нет правильности подачи и еда либо обгоревшая, либо сырая. Принесли люля-кебаб сырое и недосоленное-пресное из Хвостов и палок. Потом принесли салат Цезарь, в котором куриное мясо обгоревшее, как будто угольки принесли. Обычная забегаловка без сервиса и вкуса еды. Советую обходить это место стороной.",ужасный место который обслуживание ужасный официант грубить ничто знать меню тип думать заказывать удача кухня правильность подача еда либо обгорать либо сырой приносить сырой недосаливать пресный хвост палка приносить салат цезарь который куриный мясо обгорать уголек приносить обычный забегаловка сервис вкус еда советовать обходить место сторона
Грузинский дом,Negative,И сервис и еда - все ниже плинтуса. От грузинского - одно наименование.  Недоваренная начинка в хинкали. Винной карты нет. Блюда все пересоленные.  Не советую к посещению никому категорически пока не исправят ситуацию. Забегаловка в центре города.,сервис еда ниже плинтус грузинский наименование недоваривать начинка хинкали винный карта блюдо весь пересолить советовать посещение никто категорически пока исправлять ситуация забегаловка центр город
Пирс,Negative,"Первый раз пробовала шашлык со вкусом колбасы, это ужасно, даже не думала, что можно сделать такой невкусный шашлык. Чебурек был не лучше. Обычно, если мясо не очень , можно вкусное тесто чебуречное поесть. В этом заведении не повезло ни с фаршем в чебуреке, ни с тестом... На кафе не тянет, есть там нечего. Пивнушка, рюмочная .  ",первый пробовать шашлык вкус колбаса ужасно думать сделать невкусный шашлык чебурек хороший обычно мясо очень вкусный тесто чебуречный поесть заведение везти фарш чебурек тест кафе тянуть нечего пивнушка рюмочный
Salad Cafe,Negative,"Живем на Древлянке и у нас двое детей, по этой причине мы вбираем кафе и рестораны с детской зоной и недалеко от дома. В этом кафе были не в первый раз.  7 марта днем позвонил и резервировать столик для 4х взрослых и двух детей на 8 марта. Сотрудник принял резерв. Я попросил столик у окна, ответили , что будут в назначенное время ждать.  Мы пришли в указанное время, зашли в кафе,  за барной стойкой молодой человек спросил резервировали ли мы место, и на чье имя? Услышав имя сделал гримасу и сказал, что должны были предупредить, что место по факту.  В зале был свободен столик у окна и в центре зала. Я спросил, можно ли сесть за свободный столик у окна. В ответ услышал, что столик зарезервирован. Я ответил, что мы тоже резервировали столик на это время. В ответ грубо прозвучало, что для нас есть место только в центре зала.  С детьми этот вариант не приемлем.  На пришлось уйти. И понятно, что в 16:00 8 марта свободных мест в других кафе и ресторанах с детской зоной нам не найти.  Мы прекрасно провели время дома, выручила доставка из ближайшей шашлычной.  Но такого наплевательского отношения к клиентам, когда вокруг такая конкуренция, я давно не встречал.   Заведение не заслуживает доверия. Если не хотите разочарований и испорченного дня не рассчитывайте на это заведение.   Всех женщин от всего сердца поздравляю с 8 марта! Желаю прекрасно провести вечер без разочарований)",жить древлянка двое ребенок причина вбирать кафе ресторан детский зона недалеко дом кафе первый марта день позвонить резервировать столик взрослый ребенок март сотрудник принимать резерв попросить столик окно отвечать назначать время ждать приходить указанный время зайти кафе барный стойка молодой человек спрашивать резервировать место чей имя услышать имя сделать гримаса сказать должный предупреждать место факт зал свободный столик окно центр зал спрашивать садиться свободный столик окно ответ услышать столик зарезервировать отвечать резервировать столик время ответ грубо прозвучать место центр зал ребенок вариант приемлемый приходиться уходить понятно март свободный место кафе ресторан детский зона находить прекрасно проводить время дома выручать доставка близкий шашлычная наплевательский отношение клиент вокруг конкуренция давно встречать заведение заслуживать доверие хотеть разочарование испорченный день рассчитывать заведение весь женщина весь сердце поздравлять март желать прекрасно проводить вечер разочарование
Фрекен Бок,Positive,"Замечательное уютное кафе. Прекрасная атмосфера, авторские блюда. Отличный кофе и домашний уют. Только желательно бронировать столик заранее, часто все места заняты. ",замечательный уютный кафе прекрасный атмосфера авторский блюдо отличный кофе домашний уют желательно бронировать столик заранее часто весь место занимать
Ля Гурмэ,Negative,"Не рекомендую! Подают суррогат, а не кофе.  Отношение хамское.  Заказали кофе по-восточному в турке, флет уайт и десерты. Флет уайт пить оказалось невозможно- подошла к кассе, спросила не из автомата ли кофе. Они ответили - а вы думали, я его вручную делаю. 🤦‍♀️ В общем кофе, которому красная цена 50₽. Меренга тоже невкусная.    В дополнение ко всему - уборная комната, где даже дверь не закрывается.  Всё грязное.   В общем красивый фасад, но обслуживание и качество блюд ужасное. ",рекомендовать подавать суррогат кофе отношение хамский заказывать кофе восточный турок флет уайт десерт флет уайт пить оказываться невозможно подходить касса спрашивать автомат кофе отвечать думать вручную делать общий кофе который красный цена меренга невкусный дополнение уборная комната дверь закрываться весь грязный общий красивый фасад обслуживание качество блюдо ужасный
Понаехали,Positive,"Вкусно, доброжелательный персонал, невысокие цены, грузинская кухня в основном. Без пафоса, просто вкусно поесть.",вкусно доброжелательный персонал невысокий цена грузинский кухня основной пафос просто вкусно поесть
Торнадо,Negative,"Музыка живая есть, но в связи с событиями не ставят композиции затрагивающие тему СВО и патриотизма, считаю это неправильным.",музыка живой связь событие ставить композиция затрагивать тема сво патриотизм считать неправильный
Кафе 190 км,Negative,"Очень плохое место обслуживание посетителей очень грубое , не советую",очень плохой место обслуживание посетитель очень грубый советовать
